question_id,question,category,type,scale,out_of,notes
6,Name one concrete and specific thing that your team did well that you will carry forward into future teams.,Individual Reflection,qualitative,No scale (qualitative),,No scale (qualitative)
7,Name one concrete and specific thing that you would like your team to do differently.,Individual Reflection,qualitative,No scale (qualitative),,No scale (qualitative)
14.1,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 1",Teammate Contributions and Feedback,qualitative,No scale (qualitative),,No scale (qualitative)
14.2,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 2",Teammate Contributions and Feedback,qualitative,No scale (qualitative),,No scale (qualitative)
14.3,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 3",Teammate Contributions and Feedback,qualitative,No scale (qualitative),,No scale (qualitative)
14.4,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 4",Teammate Contributions and Feedback,qualitative,No scale (qualitative),,No scale (qualitative)
15.1,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 1",Teammate Contributions and Feedback,qualitative,No scale (qualitative),,No scale (qualitative)
15.2,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 2",Teammate Contributions and Feedback,qualitative,No scale (qualitative),,No scale (qualitative)
15.3,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 3",Teammate Contributions and Feedback,qualitative,No scale (qualitative),,No scale (qualitative)
15.4,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 4",Teammate Contributions and Feedback,qualitative,No scale (qualitative),,No scale (qualitative)
16.1,Took initiative to help the team problem solve. For teammate 1,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
16.2,Took initiative to help the team problem solve. For teammate 2,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
16.3,Took initiative to help the team problem solve. For teammate 3,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
16.4,Took initiative to help the team problem solve. For teammate 4,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
17.1,"Communicated information and feelings openly, clearly and effectively. For teammate 1",Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
17.2,"Communicated information and feelings openly, clearly and effectively. For teammate 2",Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
17.3,"Communicated information and feelings openly, clearly and effectively. For teammate 3",Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
17.4,"Communicated information and feelings openly, clearly and effectively. For teammate 4",Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
18.1,Contributed expertise and effort in team activities. For teammate 1,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
18.2,Contributed expertise and effort in team activities. For teammate 2,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
18.3,Contributed expertise and effort in team activities. For teammate 3,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
18.4,Contributed expertise and effort in team activities. For teammate 4,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
19.1,Respected and valued other team members to bring out the best in one another. For teammate 1,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
19.2,Respected and valued other team members to bring out the best in one another. For teammate 2,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
19.3,Respected and valued other team members to bring out the best in one another. For teammate 3,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
19.4,Respected and valued other team members to bring out the best in one another. For teammate 4,Teammate Contributions and Feedback,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
33,My team’s primary mode of communication to complete tasks outside the classroom for the project is…,Communication,qualitative,,4,
38.1,How well have you improved in the element: ELEMENT_1,Individual Reflection,quantitative,-3 to 3,7,"-3 = much worse, 3 = much better"
38.2,How well have you improved in the element: ELEMENT_2,Individual Reflection,quantitative,-3 to 3,7,"-3 = much worse, 3 = much better"
38.3,How well have you improved in the element: ELEMENT_3,Individual Reflection,quantitative,-3 to 3,7,"-3 = much worse, 3 = much better"
99.9,Please refer to your personalized feedback here,Individual Reflection,qualitative,No scale (qualitative),,No scale (qualitative)
